Timestamp,Device Name,Traffic Volume (MB/s),Latency (ms),Bandwidth Allocated (MB/s),Bandwidth Used (MB/s),Date,total_avg_app_traffic,total_peak_app_traffic,total_logins,total_peak_user_usage,Event,Impact,Num_Config_Changes,Congestion Flag
2025-06-01 00:00:00,Router_A,18.03,14.0,100,17.8,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 00:00:00,Router_B,14.42,18.91,100,13.81,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 00:00:00,Router_C,34.29,23.64,100,37.51,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 01:00:00,Router_A,30.6,13.82,100,33.3,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 01:00:00,Router_B,13.96,21.47,100,13.55,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 01:00:00,Router_C,32.98,12.44,100,32.78,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 02:00:00,Router_A,26.14,21.93,100,28.69,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 02:00:00,Router_B,16.97,16.92,100,16.74,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 02:00:00,Router_C,33.0,16.69,100,32.94,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 03:00:00,Router_A,36.77,17.4,100,38.06,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 03:00:00,Router_B,18.03,24.3,100,18.88,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 03:00:00,Router_C,18.09,13.16,100,19.87,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 04:00:00,Router_A,27.47,16.28,100,26.77,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 04:00:00,Router_B,14.57,18.46,100,15.62,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 04:00:00,Router_C,25.29,15.94,100,27.41,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 05:00:00,Router_A,26.43,26.13,100,25.44,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 05:00:00,Router_B,14.29,22.57,100,13.66,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 05:00:00,Router_C,25.45,14.71,100,26.94,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 06:00:00,Router_A,6.02,23.6,100,5.9,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 06:00:00,Router_B,24.15,14.64,100,26.52,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
2025-06-01 06:00:00,Router_C,17.46,15.07,100,18.97,2025-06-01,556.4200000000001,1743.23,12,138.85999999999999,None,None,0.0,0
